date,hrv,rhr,sleep_efficiency,respiratory_rate,recovery_score,strain,sleep_hours,hrv_7d_avg,hrv_30d_avg,rhr_7d_avg,rhr_30d_avg,sleep_efficiency_7d_avg,sleep_efficiency_30d_avg,respiratory_rate_7d_avg,respiratory_rate_30d_avg,recovery_score_7d_avg,recovery_score_30d_avg,strain_7d_avg,strain_30d_avg
2025-10-10 10:06:13.677427,46,61,86.15477211392938,15.424785083272194,77.53538168097712,5.2301414811407225,7.507801768892059,,,,,,,,,,,,
2025-10-11 10:06:13.677427,50,55,94.26191130402063,16.646170784601487,48.05439718013573,18.118201277842456,5.489831607343374,,,,,,,,,,,,
2025-10-12 10:06:13.677427,44,59,81.12991881234514,14.317128744397348,72.94706266872925,11.367968405684042,5.851814577894287,46.666666666666664,,58.333333333333336,,87.18220074343172,,15.46269487075701,,66.17894717661403,,11.57210372155574,
2025-10-13 10:06:13.677427,50,57,85.21369377679153,16.104855818621413,86.6235293098685,10.29247572021032,7.943264094022715,47.5,,58.0,,86.69007400177168,,15.623235107723112,,71.29009270992765,,11.252196721219384,
2025-10-14 10:06:13.677427,49,55,87.5211519336889,14.86369085795307,27.92533249809066,7.95158249895933,7.370865438127942,47.8,,57.4,,86.85628958815512,,15.471326257769102,,62.61714066756025,,10.592073876767374,
2025-10-15 10:06:13.677427,43,58,78.79023622491331,14.548552601285188,53.046571167942844,5.380573312536923,7.016016663647321,47.0,,57.5,,85.51194736094816,,15.317530648355117,,61.022045750957346,,9.723490449395632,
2025-10-16 10:06:13.677427,57,58,83.79273985448333,15.37156356805453,73.6560819077081,15.292682335847658,7.218433933065393,48.42857142857143,48.42857142857143,57.57142857142857,57.57142857142857,85.26634628859604,85.26634628859604,15.325249636883603,15.325249636883603,62.8269080590646,62.8269080590646,10.519089290317352,10.519089290317352
2025-10-17 10:06:13.677427,59,56,82.10073920625436,14.257709213096751,61.95431920935511,12.293271868753616,7.547581705361671,50.285714285714285,49.75,56.857142857142854,57.375,84.68719873035674,84.87064540330333,15.158524512572827,15.191807083910248,60.601041991690025,62.717834452850916,11.528107917119192,10.740862112621883
2025-10-18 10:06:13.677427,56,57,82.78140878839065,14.835620833583382,70.56718810056964,6.8401564010357845,6.660240319690638,51.142857142857146,50.44444444444444,57.142857142857146,57.333333333333336,83.0471269424096,84.63850800164636,14.899874519570242,15.152230833873931,63.817154980323444,63.58998485815299,9.916958649003954,10.307450366890095
2025-10-19 10:06:13.677427,57,56,75.81592172915627,14.062546528893382,55.94022219926269,6.819684911745536,6.421695274597687,53.0,51.1,56.714285714285715,57.2,82.28798450195404,83.75624937439736,14.863505631641102,15.043262403375874,61.387606341828224,62.82500859226396,9.267203864155595,9.958673821375639
